
====================================================
   STRUCTURAL ANALYSIS STACK INITIALIZED             
====================================================
Control:    Scenario Manager Active
Usage:      run_scenario('file.pl', interval_id).
====================================================
LOAD	960
CTRL_GROUND_FACTS	1903
GROUND	second_amendment_boundary__insurrectionist_reading	[deontological,empirically_contingent]
GROUND	second_amendment_boundary__militia_conditioned_reading	[conventional,deontological]
GROUND	second_amendment_scope__civic_right_reading	[conventional,deontological]
GROUND	second_amendment_scope__collective_right_reading	[conventional,deontological]
GROUND	second_amendment_scope__individual_right_reading	[deontological,deontological]
GROUND	second_amendment_text__collective_security_reading	[conventional,instrumental]
GROUND	second_amendment_text__individual_right_reading	[conventional,deontological]
GROUND	second_amendment_text__originalist_civic_virtue_reading	[conventional,deontological]
GROUND	separation_of_powers_text__formalist_reading	[deontological,deontological]
GROUND	separation_of_powers_text__functionalist_reading	[conventional,instrumental]
GROUND	separation_of_powers_text__unitary_executive_reading	[conventional,deontological]
GROUND	sex_gender_category__biology_reading	[empirically_contingent,empirically_contingent]
GROUND	sex_gender_category__hybrid_reading	[conventional,empirically_contingent]
GROUND	shinbutsu_coexistence_commitment__domain_partition_reading	[conventional,deontological]
GROUND	shinbutsu_coexistence_commitment__incoherent_bundle_reading	[empirically_contingent,empirically_contingent]
GROUND	shinbutsu_coexistence_commitment__syncretic_fusion_reading	[theological,theological]
GROUND	shinbutsu_ontological_commitment__partition_reading	[conventional,deontological]
GROUND	shinbutsu_ontological_commitment__syncretic_reading	[theological,theological]
GROUND	shinbutsu_ontological_substrate__domain_partition_reading	[conventional,conventional]
GROUND	shinbutsu_ontological_substrate__incoherent_bundle_reading	[empirically_contingent,empirically_contingent]
GROUND	shinbutsu_ontological_substrate__syncretic_fusion_reading	[conventional,deontological]
GROUND	simultaneous_veneration__domain_partition_reading	[conventional,instrumental]
GROUND	simultaneous_veneration__ontological_fusion_reading	[theological,theological]
GROUND	simultaneous_veneration__pragmatic_incoherence_reading	[conventional,empirically_contingent]
GROUND	software_control_legitimacy__commons_reading	[conventional,instrumental]
GROUND	software_control_legitimacy__freedom_imperative_reading	[deontological,deontological]
GROUND	software_control_legitimacy__pragmatic_openness_reading	[empirically_contingent,instrumental]
GROUND	software_control_legitimacy__property_rights_reading	[conventional,empirically_contingent]
GROUND	software_source_status__freedom_imperative_reading	[deontological,deontological]
GROUND	software_source_status__pragmatic_development_reading	[empirically_contingent,instrumental]
GROUND	software_source_status__property_rights_reading	[conventional,deontological]
GROUND	software_source_status__utilitarian_hybrid_reading	[empirically_contingent,instrumental]
GROUND	sovereign_legitimacy__constitutional_hybrid_reading	[conventional,conventional]
GROUND	sovereign_legitimacy__monarchical_reading	[conventional,theological]
GROUND	sovereign_legitimacy__republican_reading	[conventional,deontological]
GROUND	speech_harm_boundary__absolutist_reading	[conventional,deontological]
GROUND	speech_harm_boundary__dignity_reading	[deontological,deontological]
GROUND	speech_harm_boundary__harm_balancing_reading	[deontological,empirically_contingent]
GROUND	speech_protection_boundary__absolutist_reading	[conventional,deontological]
GROUND	speech_protection_boundary__balancing_reading	[conventional,deontological]
GROUND	speech_protection_boundary__harm_limited_reading	[deontological,deontological]
GROUND	speech_protection_kernel__democratic_participation_reading	[conventional,deontological]
GROUND	speech_protection_kernel__dignity_reading	[deontological,empirically_contingent]
GROUND	speech_protection_kernel__harm_threshold_reading	[deontological,deontological]
GROUND	speech_protection_kernel__marketplace_reading	[empirically_contingent,instrumental]
GROUND	state_commitment_installation_mechanism__endogenous_climb_reading	[conventional,empirically_contingent]
GROUND	state_commitment_installation_mechanism__exogenous_imposition_reading	[conventional,deontological]
GROUND	state_commitment_installation_mechanism__hybrid_cascade_reading	[conventional,empirically_contingent]
GROUND	state_execution_authority__abolition_reading	[deontological,deontological]
GROUND	state_execution_authority__deterrence_reading	[empirically_contingent,instrumental]
GROUND	state_execution_authority__retributive_reading	[deontological,deontological]
GROUND	state_killing_authority__categorical_abolition	[deontological,deontological]
GROUND	state_killing_authority__deterrence_instrument	[conventional,instrumental]
GROUND	state_killing_authority__retributive_desert	[deontological,deontological]
GROUND	state_killing_legitimacy__deterrence_reading	[conventional,empirically_contingent]
GROUND	state_killing_legitimacy__retributive_reading	[deontological,deontological]
GROUND	statute_of_anne_ip_foundation__conceptual_emergence_reading	[conventional,instrumental]
GROUND	statute_of_anne_ip_foundation__institutional_reallocation_reading	[conventional,conventional]
GROUND	statutory_debt_ceiling__constitutional_nullity_reading	[deontological,deontological]
GROUND	statutory_debt_ceiling__extraction_snare_reading	[conventional,instrumental]
GROUND	stone_land_use_rule__behavioral_competence	[deontological,empirically_contingent]
GROUND	stone_land_use_rule__commemorative_husk	[conventional,instrumental]
GROUND	structural_adjustment_conditionalities__creditor_coordination_reading	[empirically_contingent,empirically_contingent]
GROUND	structural_adjustment_conditionalities__debtor_extraction_reading	[deontological,empirically_contingent]
GROUND	structural_adjustment_conditionalities__hybrid_selectivity_reading	[empirically_contingent,empirically_contingent]
GROUND	substance_control_authority__harm_reduction_reading	[conventional,instrumental]
GROUND	substance_control_authority__legalization_reading	[conventional,instrumental]
GROUND	substance_control_authority__prohibition_reading	[deontological,empirically_contingent]
GROUND	substance_control_kernel__harm_reduction_reading	[deontological,empirically_contingent]
GROUND	substance_control_kernel__legalization_reading	[deontological,deontological]
GROUND	substance_control_kernel__prohibition_reading	[deontological,instrumental]
GROUND	substance_control_legitimacy__harm_reduction_reading	[deontological,empirically_contingent]
GROUND	substance_control_legitimacy__legalization_reading	[conventional,deontological]
GROUND	substance_control_legitimacy__prohibition_reading	[deontological,deontological]
GROUND	supermajority_threshold__adaptive_gradient_reading	[empirically_contingent,instrumental]
GROUND	supermajority_threshold__consensus_safeguard_reading	[deontological,deontological]
GROUND	supermajority_threshold__minoritarian_veto_reading	[deontological,empirically_contingent]
GROUND	takings_clause_boundary__categorical_takings_reading	[conventional,conventional]
GROUND	takings_clause_boundary__physical_appropriation_reading	[conventional,conventional]
GROUND	takings_clause_boundary__regulatory_takings_reading	[conventional,deontological]
GROUND	tcp_ip_interpretation__neutrality_reading	[deontological,empirically_contingent]
GROUND	tcp_ip_interpretation__prioritization_reading	[empirically_contingent,instrumental]
GROUND	tcp_ip_interpretation__zero_rating_reading	[conventional,instrumental]
GROUND	technology_legitimacy_kernel__precautionary_reading	[deontological,empirically_contingent]
GROUND	technology_legitimacy_kernel__reliability_primacy_reading	[deontological,empirically_contingent]
GROUND	technology_legitimacy_kernel__velocity_primacy_reading	[empirically_contingent,empirically_contingent]
GROUND	technology_reformation_causality__beneficiary_agency_reading	[empirically_contingent,empirically_contingent]
GROUND	technology_reformation_causality__co_constitution_reading	[empirically_contingent,empirically_contingent]
GROUND	technology_reformation_causality__technological_determinism_reading	[empirically_contingent,empirically_contingent]
GROUND	temple_sacrifice_commitment__hybrid_preparatory	[deontological,theological]
GROUND	temple_sacrifice_commitment__performance_only	[conventional,deontological]
GROUND	temple_sacrifice_commitment__study_as_exercise	[deontological]
GROUND	temple_sacrifice_commitment__symbolic_transformation	[conventional,theological]
GROUND	temple_sacrifice_obligation__messianic_suspension	[deontological,theological]
GROUND	temple_sacrifice_obligation__study_as_archiving	[conventional,deontological]
GROUND	temple_sacrifice_obligation__study_as_occupation	[deontological,theological]
GROUND	tenure_contract__academic_freedom_reading	[deontological,instrumental]
GROUND	tenure_contract__demographic_reproduction_reading	[conventional,conventional]
GROUND	tenure_contract__institutional_extraction_reading	[empirically_contingent,empirically_contingent]
GROUND	territorial_legitimacy__indigenous_continuity_reading	[deontological,empirically_contingent]
GROUND	territorial_legitimacy__partition_reading	[conventional,deontological]
GROUND	territorial_legitimacy__security_necessity_reading	[empirically_contingent,instrumental]
GROUND	territorial_legitimacy_dual__palestinian_autochthony_reading	[deontological,empirically_contingent]
GROUND	territorial_legitimacy_dual__two_state_coexistence_reading	[conventional,deontological]
GROUND	territorial_legitimacy_dual__zionist_refuge_reading	[deontological,instrumental]
GROUND	territorial_sovereignty_legitimacy__covenant_continuity_reading	[conventional,theological]
GROUND	territorial_sovereignty_legitimacy__existential_matrix_reading	[deontological,empirically_contingent]
GROUND	territorial_sovereignty_legitimacy__self_determination_reading	[conventional,deontological]
GROUND	tordesillas_demarcation_kernel__portuguese_exploration_legitimation	[conventional,theological]
GROUND	tordesillas_demarcation_kernel__spanish_conquest_legitimation	[theological,theological]
GROUND	total_war_possibility_space__deterrence_equilibrium_reading	[empirically_contingent,empirically_contingent]
GROUND	total_war_possibility_space__nuclear_taboo_reading	[conventional,deontological]
GROUND	total_war_possibility_space__space_contraction_reading	[empirically_contingent,empirically_contingent]
GROUND	total_war_reachability_boundary__contingent_reachability_reading	[empirically_contingent,empirically_contingent]
GROUND	total_war_reachability_boundary__contraction_reading	[deontological,empirically_contingent]
GROUND	total_war_reachability_boundary__dropping_reading	[conventional,empirically_contingent]
GROUND	total_war_winnability_post1945__normative_reading_drop	[conventional,deontological]
GROUND	total_war_winnability_post1945__strategic_culture_drift	[empirically_contingent]
GROUND	total_war_winnability_post1945__structural_contraction_reading	[empirically_contingent,empirically_contingent]
GROUND	transition_causality__contingent_choice_reading	[empirically_contingent,instrumental]
GROUND	transition_causality__hybrid_trigger_reading	[empirically_contingent,empirically_contingent]
GROUND	transition_causality__overdetermined_collapse_reading	[empirically_contingent,empirically_contingent]
GROUND	treaty_authority_cession__crown_cession_reading	[conventional,conventional]
GROUND	treaty_authority_cession__rangatiratanga_retention_reading	[conventional,deontological]
GROUND	treaty_authority_cession__retrospective_snare_exposure	[deontological,deontological]
GROUND	trips_agreement_interpretive_kernel__dispute_settlement_interpretive_authority	[conventional,conventional]
GROUND	trips_agreement_interpretive_kernel__public_health_flexibility_reading	[conventional,deontological]
GROUND	trips_agreement_interpretive_kernel__strong_exclusivity_reading	[deontological,empirically_contingent]
GROUND	tsunami_stone_commitment__behavioral_competence_reading	[conventional,empirically_contingent]
GROUND	tsunami_stone_commitment__catastrophe_validation_axis	[empirically_contingent]
GROUND	tsunami_stone_commitment__commemorative_husk_reading	[conventional,empirically_contingent]
GROUND	turkish_graphemic_substrate__gradual_transition_reading	[deontological,empirically_contingent]
GROUND	turkish_graphemic_substrate__ottoman_continuity_reading	[conventional,deontological]
GROUND	turkish_graphemic_substrate__secular_nationalist_reading	[conventional,instrumental]
GROUND	udhr_article_3__positive_entitlement_reading	[deontological,empirically_contingent]
GROUND	udhr_article_3__procedural_hybrid_reading	[conventional,deontological]
GROUND	udhr_authority__aspirational_sovereignty_reading	[conventional,deontological]
GROUND	udhr_authority__binding_universalism_reading	[conventional,deontological]
GROUND	udhr_authority__customary_emergence_reading	[conventional,empirically_contingent]
GROUND	unclos_maritime_sovereignty__expansive_construction_reading	[conventional,instrumental]
GROUND	unclos_maritime_sovereignty__hybrid_effective_control_reading	[conventional,conventional]
GROUND	unclos_maritime_sovereignty__strict_geographic_reading	[conventional,deontological]
GROUND	unclos_sovereignty_boundary__historical_rights_reading	[conventional,empirically_contingent]
GROUND	unclos_sovereignty_boundary__non_ratifier_enforcement_reading	[conventional,instrumental]
GROUND	unclos_sovereignty_boundary__strict_eez_reading	[conventional,conventional]
GROUND	unconditional_income_support__dependency_trap_reading	[empirically_contingent,empirically_contingent]
GROUND	unconditional_income_support__freedom_floor_reading	[deontological,empirically_contingent]
GROUND	unconditional_income_support__universality_paradox_reading	[empirically_contingent,empirically_contingent]
GROUND	unsc_242_withdrawal_clause__interpretive_authority_structure	[conventional]
GROUND	unsc_242_withdrawal_clause__maximal_withdrawal_reading	[conventional,deontological]
GROUND	unsc_242_withdrawal_clause__partial_withdrawal_reading	[conventional,instrumental]
GROUND	us_constitution_1787__living_reading	[conventional,deontological]
GROUND	us_constitution_1787__originalist_reading	[conventional,deontological]
GROUND	us_constitution_1787__positivist_reading	[conventional,conventional]
GROUND	us_constitution_interpretive__living_constitution_reading	[deontological,instrumental]
GROUND	us_constitution_interpretive__originalist_reading	[deontological,deontological]
GROUND	us_constitution_interpretive__popular_constitutionalism_reading	[conventional,deontological]
GROUND	us_constitution_meaning__living_constitutionalist_reading	[deontological,deontological]
GROUND	us_constitution_meaning__originalist_reading	[deontological,deontological]
GROUND	us_constitution_meaning__positivist_reading	[conventional,deontological]
GROUND	us_constitution_text__living_constitutionalist_reading	[conventional,instrumental]
GROUND	us_constitution_text__originalist_reading	[conventional,deontological]
GROUND	us_constitution_text__positivist_reading	[conventional,deontological]
GROUND	usul_al_fiqh_method__hanafi_reading	[deontological,instrumental]
GROUND	usul_al_fiqh_method__hanbali_reading	[conventional,deontological]
GROUND	usul_al_fiqh_method__maliki_reading	[conventional,instrumental]
GROUND	usul_al_fiqh_method__shafii_reading	[conventional,conventional]
GROUND	vaccine_mandate_balance__bodily_autonomy_primary	[deontological,deontological]
GROUND	vaccine_mandate_balance__proportionality_reading	[deontological,deontological]
GROUND	vaccine_mandate_balance__public_health_primary	[deontological,deontological]
GROUND	vaccine_mandate_legitimacy__bodily_autonomy_primacy_reading	[deontological,deontological]
GROUND	vaccine_mandate_legitimacy__public_health_primacy_reading	[deontological,empirically_contingent]
GROUND	vaccine_mandate_legitimacy__risk_stratification_reading	[deontological,empirically_contingent]
GROUND	valuation_legitimacy__dcf_fundamentalist	[conventional,empirically_contingent]
GROUND	valuation_legitimacy__governance_skeptic	[conventional,deontological]
GROUND	valuation_legitimacy__musk_cult_believer	[conventional,empirically_contingent]
GROUND	valuation_legitimacy__real_options_technologist	[empirically_contingent,empirically_contingent]
GROUND	vatican_ii_authority__composite_overdetermination_reading	[empirically_contingent,empirically_contingent]
GROUND	vatican_ii_authority__continuity_reading	[deontological,theological]
GROUND	vatican_ii_authority__rupture_reading	[deontological,empirically_contingent]
GROUND	vatican_ii_doctrinal_authority__composite_overdetermination_reading	[conventional,instrumental]
GROUND	vatican_ii_doctrinal_authority__continuity_reading	[conventional,deontological]
GROUND	vatican_ii_doctrinal_authority__rupture_progressive_reading	[conventional,deontological]
GROUND	vatican_ii_doctrinal_authority__rupture_traditionalist_reading	[deontological,empirically_contingent]
GROUND	vatican_ii_magisterial_authority__composite_overdetermination_reading	[conventional,empirically_contingent]
GROUND	vatican_ii_magisterial_authority__continuity_reading	[conventional,deontological]
GROUND	vatican_ii_magisterial_authority__rupture_reading	[conventional,deontological]
GROUND	vedic_corpus_social_prescription__orthodox_varna_reading	[conventional,theological]
GROUND	vedic_corpus_social_prescription__reformist_spiritual_reading	[conventional,deontological]
GROUND	vedic_dharmic_corpus__bhakti_devotional_reading	[deontological,deontological]
GROUND	vedic_dharmic_corpus__hereditary_monopoly_reading	[theological,theological]
GROUND	vedic_dharmic_corpus__reformist_egalitarian_reading	[conventional,empirically_contingent]
GROUND	versailles_reparations_clauses__limited_responsibility_reading	[conventional,empirically_contingent]
GROUND	versailles_reparations_clauses__punitive_liability_reading	[conventional,instrumental]
GROUND	versailles_reparations_clauses__repudiation_reading	[deontological,deontological]
GROUND	waitangi_sovereignty_allocation__crown_sovereignty_reading	[conventional,conventional]
GROUND	waitangi_sovereignty_allocation__partnership_reading	[conventional,deontological]
GROUND	waitangi_sovereignty_allocation__rangatiratanga_reading	[conventional,deontological]
GROUND	war_powers_allocation__congressional_primacy_reading	[deontological,deontological]
GROUND	war_powers_allocation__functional_accommodation_reading	[deontological,instrumental]
GROUND	war_powers_allocation__inherent_executive_reading	[conventional,deontological]
GROUND	war_winnability_post_1945__countervailing_thinkable	[empirically_contingent,empirically_contingent]
GROUND	war_winnability_post_1945__deterrence_unthinkable	[empirically_contingent,empirically_contingent]
GROUND	war_winnability_post_1945__rhetorical_contraction	[conventional,instrumental]
GROUND	westphalia_sovereignty__absolute_non_intervention	[conventional,deontological]
GROUND	westphalia_sovereignty__conditional_responsibility	[conventional,deontological]
GROUND	westphalia_sovereignty__graded_sovereignty	[empirically_contingent,instrumental]
GROUND	westphalian_sovereignty__absolute_sovereignty	[deontological,deontological]
GROUND	westphalian_sovereignty__conditional_sovereignty	[conventional,deontological]
GROUND	westphalian_sovereignty__graduated_sovereignty	[conventional,empirically_contingent]
GROUND	woman_category__gender_identity_reading	[conventional,deontological]
GROUND	woman_category__intersex_accommodation_reading	[deontological,empirically_contingent]
GROUND	woman_category__sex_biology_reading	[deontological,empirically_contingent]
GROUND	woman_female_category__gender_identity_reading	[conventional,deontological]
GROUND	woman_female_category__hybrid_contextual_reading	[conventional,instrumental]
GROUND	woman_female_category__sex_biology_reading	[deontological,empirically_contingent]
GROUND	wto_dsb_authority__advisory_coordination_reading	[conventional,deontological]
GROUND	wto_dsb_authority__binding_referee_reading	[conventional,deontological]
GROUND	wto_dsb_authority__judicial_activism_reading	[conventional,deontological]
GROUND	wto_treaty_framework__developmental_reading	[deontological,instrumental]
GROUND	wto_treaty_framework__market_access_reading	[conventional,empirically_contingent]
GROUND	zero_as_number_entry__contingent_thinkability_reading	[empirically_contingent,empirically_contingent]
GROUND	zero_as_number_entry__hybrid_scaffolding_reading	[empirically_contingent,empirically_contingent]
GROUND	zero_as_number_entry__universal_discovery_reading	[deontological,empirically_contingent]
GROUND	zero_mathematical_status__number_reading	[conventional,deontological]
GROUND	zionist_legitimacy_basis__religious_restoration_reading	[theological,theological]
GROUND	zionist_legitimacy_basis__settler_colonial_reading	[deontological,empirically_contingent]
OBSTRUCT	abrahamic_covenant	real_closure
OBSTRUCT	acceptable_risk_energy	licensed_plurality
OBSTRUCT	acceptable_risk_for_energy	licensed_plurality
OBSTRUCT	ai_alignment_commitment	licensed_plurality
OBSTRUCT	ai_alignment_priority	licensed_plurality
OBSTRUCT	ai_dignity_safeguarding	real_closure
OBSTRUCT	ai_governance_legitimacy	real_closure
OBSTRUCT	ai_human_relationship	real_closure
OBSTRUCT	ai_risk_governance_priority	licensed_plurality
OBSTRUCT	ai_risk_prioritization	licensed_plurality
OBSTRUCT	ai_safety_commitment	licensed_plurality
OBSTRUCT	all_men_created_equal	licensed_plurality
OBSTRUCT	aneyoshi_land_use_prohibition	real_closure
OBSTRUCT	aneyoshi_stone_commitment	real_closure
OBSTRUCT	aneyoshi_stone_directive	real_closure
OBSTRUCT	animal_moral_status	real_closure
OBSTRUCT	animal_status	real_closure
OBSTRUCT	animal_status_kernel	licensed_plurality
OBSTRUCT	anthropological_record	real_closure
OBSTRUCT	article17_erasure_right	licensed_plurality
OBSTRUCT	article_17_complementarity	licensed_plurality
OBSTRUCT	article_27_veto_power	licensed_plurality
OBSTRUCT	article_2_7_chapter_vii_tension	licensed_plurality
OBSTRUCT	article_51_self_defense	licensed_plurality
OBSTRUCT	article_9_war_renunciation	real_closure
OBSTRUCT	balfour_mandate_instruments	real_closure
OBSTRUCT	basic_law_interpretive_authority	licensed_plurality
OBSTRUCT	basic_law_interpretive_boundary	licensed_plurality
OBSTRUCT	beta_designation_doctrine	real_closure
OBSTRUCT	biblical_authority	real_closure
OBSTRUCT	biblical_divine_nature	real_closure
OBSTRUCT	biblical_source_text	licensed_plurality
OBSTRUCT	bitcoin_consensus_kernel	real_closure
OBSTRUCT	bitcoin_whitepaper	licensed_plurality
OBSTRUCT	bitcoin_whitepaper_purpose	licensed_plurality
OBSTRUCT	border_control_legitimacy	real_closure
OBSTRUCT	border_legitimacy	real_closure
OBSTRUCT	border_normative_status	real_closure
OBSTRUCT	bretton_woods_treaty_substrate	real_closure
OBSTRUCT	caa_section_111d_delegation	real_closure
OBSTRUCT	catastrophe_avoidance_retention	real_closure
OBSTRUCT	catastrophe_memory_function	licensed_plurality
OBSTRUCT	catastrophe_memory_kernel	licensed_plurality
OBSTRUCT	catastrophe_memory_preservation	licensed_plurality
OBSTRUCT	catastrophe_memory_survival	licensed_plurality
OBSTRUCT	catastrophe_memory_transmission	licensed_plurality
OBSTRUCT	catastrophe_proxy_sufficiency	real_closure
OBSTRUCT	cbdr_principle	licensed_plurality
OBSTRUCT	church_turing_thesis	licensed_plurality
OBSTRUCT	classical_latin_standard	real_closure
OBSTRUCT	climate_harm_prevention	real_closure
OBSTRUCT	climate_mitigation_imperative	licensed_plurality
OBSTRUCT	climate_mitigation_legitimacy	real_closure
OBSTRUCT	climate_response_action	licensed_plurality
OBSTRUCT	climate_response_imperative	licensed_plurality
OBSTRUCT	climate_response_legitimacy	licensed_plurality
OBSTRUCT	climate_response_obligation	licensed_plurality
OBSTRUCT	coercion_legitimacy_boundary	real_closure
OBSTRUCT	combatant_status_definition	licensed_plurality
OBSTRUCT	commerce_clause_scope	real_closure
OBSTRUCT	commerce_clause_text	real_closure
OBSTRUCT	common_article_3_scope	licensed_plurality
OBSTRUCT	common_law_precedent_corpus	real_closure
OBSTRUCT	competence_exercise_requirement	real_closure
OBSTRUCT	competence_exercise_validity	real_closure
OBSTRUCT	competence_occupation	real_closure
OBSTRUCT	competence_retention_exercise	real_closure
OBSTRUCT	constitutional_authority_boundary	real_closure
OBSTRUCT	constitutional_interpretive_authority	real_closure
OBSTRUCT	constitutional_secularism	real_closure
OBSTRUCT	constitutional_text	real_closure
OBSTRUCT	constitutional_text_authority	real_closure
OBSTRUCT	copyright_constitutional_mandate	real_closure
OBSTRUCT	correct_latin	real_closure
OBSTRUCT	correct_latin_kernel	real_closure
OBSTRUCT	creed_381_pneumatology	real_closure
OBSTRUCT	cultural_property_legal_corpus	real_closure
OBSTRUCT	decalogue_image_prohibition	real_closure
OBSTRUCT	deferential_realism_ontology	real_closure
OBSTRUCT	derivative_work_statutory_boundary	real_closure
OBSTRUCT	dharmasastra_corpus	real_closure
OBSTRUCT	digital_money_emergence_boundary	licensed_plurality
OBSTRUCT	digital_money_origin	licensed_plurality
OBSTRUCT	dignified_death	real_closure
OBSTRUCT	dignity_kernel	real_closure
OBSTRUCT	divine_legitimacy_substrate	real_closure
OBSTRUCT	divine_marriage_command	real_closure
OBSTRUCT	dollar_gold_convertibility	real_closure
OBSTRUCT	doomsday_clock_metric	real_closure
OBSTRUCT	dsm_taxonomy_kernel	real_closure
OBSTRUCT	dual_class_legitimacy	licensed_plurality
OBSTRUCT	dueling_disappearance_mechanism	licensed_plurality
OBSTRUCT	ecb_mandate_article_127	licensed_plurality
OBSTRUCT	electronic_money_emergence	licensed_plurality
OBSTRUCT	employment_boundary	real_closure
OBSTRUCT	end_of_life_authority	licensed_plurality
OBSTRUCT	end_of_life_decision_authority	real_closure
OBSTRUCT	equal_protection_clause	real_closure
OBSTRUCT	equal_protection_commitment	real_closure
OBSTRUCT	equal_protection_kernel	licensed_plurality
OBSTRUCT	equality_clause_scope	real_closure
OBSTRUCT	eternal_marriage_covenant	real_closure
OBSTRUCT	eu_council_unanimity	licensed_plurality
OBSTRUCT	exercise_as_competence_maintenance	real_closure
OBSTRUCT	fair_use_four_factor_test	licensed_plurality
OBSTRUCT	fair_use_statutory_exception	real_closure
OBSTRUCT	family_law_authority	licensed_plurality
OBSTRUCT	federation_membership	licensed_plurality
OBSTRUCT	federation_membership_kernel	licensed_plurality
OBSTRUCT	federation_membership_obligations	licensed_plurality
OBSTRUCT	federation_membership_treaty	real_closure
OBSTRUCT	feud_obligation_kernel	real_closure
OBSTRUCT	feudal_oath_reciprocity	real_closure
OBSTRUCT	fifth_republic_constitution	licensed_plurality
OBSTRUCT	first_amendment_speech_protection	real_closure
OBSTRUCT	fisa_702_statutory_text	real_closure
OBSTRUCT	flexible_employment_legitimacy	real_closure
OBSTRUCT	fourteenth_amendment_equal_protection	singleton
OBSTRUCT	gdpr_article_3_scope	licensed_plurality
OBSTRUCT	gelassenheit_separation	licensed_plurality
OBSTRUCT	gendered_category_membership	real_closure
OBSTRUCT	genesis_creation_cosmology	real_closure
OBSTRUCT	genesis_creation_narrative	real_closure
OBSTRUCT	geneva_conventions_1949	real_closure
OBSTRUCT	geneva_conventions_protective_scope	real_closure
OBSTRUCT	gita_kurukshetra_discourse	real_closure
OBSTRUCT	gold_fiat_transition_mechanism	real_closure
OBSTRUCT	gpl_copyleft_scope	licensed_plurality
OBSTRUCT	gpl_derivative_work_trigger	licensed_plurality
OBSTRUCT	gpl_reciprocity_obligation	licensed_plurality
OBSTRUCT	hagia_sophia_substrate	real_closure
OBSTRUCT	hebrew_continuity	licensed_plurality
OBSTRUCT	hebrew_linguistic_life	real_closure
OBSTRUCT	hebrew_living_language	licensed_plurality
OBSTRUCT	hebrew_vitality	licensed_plurality
OBSTRUCT	herem_command_dt7	real_closure
OBSTRUCT	historical_treaty_substrate	real_closure
OBSTRUCT	hoa_covenant_scope	licensed_plurality
OBSTRUCT	homoousios_christology	real_closure
OBSTRUCT	homoousios_nicene	real_closure
OBSTRUCT	honor_satisfaction_mechanism	real_closure
OBSTRUCT	honor_satisfaction_substrate	real_closure
OBSTRUCT	honor_settlement_legitimacy	real_closure
OBSTRUCT	honor_violence_legitimacy	licensed_plurality
OBSTRUCT	human_dignity_ai_governance	real_closure
OBSTRUCT	human_dignity_ai_safeguarding	real_closure
OBSTRUCT	human_transcendence_pathway	real_closure
OBSTRUCT	humane_treatment_standard	real_closure
OBSTRUCT	ietf_openness_commitment	licensed_plurality
OBSTRUCT	ihl_distinction_proportionality	real_closure
OBSTRUCT	imperial_mandate	real_closure
OBSTRUCT	imposition_mechanism_kernel	real_closure
OBSTRUCT	imposition_pathway_kernel	real_closure
OBSTRUCT	income_support_commitment	licensed_plurality
OBSTRUCT	income_support_conditionality	licensed_plurality
OBSTRUCT	ip_category_emergence	licensed_plurality
OBSTRUCT	irc_469_material_participation_kernel	licensed_plurality
OBSTRUCT	jati_practice_norm	real_closure
OBSTRUCT	jcpoa_treaty_bindingness	real_closure
OBSTRUCT	jewish_self_determination	real_closure
OBSTRUCT	jewish_sovereignty_palestine	real_closure
OBSTRUCT	jewish_territorial_claim	real_closure
OBSTRUCT	jihad_quranic_corpus	real_closure
OBSTRUCT	john_1_1_logos	real_closure
OBSTRUCT	july_charter_sovereign_legitimacy	real_closure
OBSTRUCT	jurisprudential_method_kernel	real_closure
OBSTRUCT	kami_buddha_ontology	real_closure
OBSTRUCT	kjv_text_1611	real_closure
OBSTRUCT	kodashim_commandment_status	licensed_plurality
OBSTRUCT	kodashim_corpus	real_closure
OBSTRUCT	kodashim_obligation	real_closure
OBSTRUCT	latin_correctness	real_closure
OBSTRUCT	lausanne_minority_protections	real_closure
OBSTRUCT	legal_personhood_boundary	real_closure
OBSTRUCT	legitimacy_of_imposed_practice	real_closure
OBSTRUCT	legitimacy_of_practice_standardization	real_closure
OBSTRUCT	legitimate_health_intervention	real_closure
OBSTRUCT	legitimate_knowledge_boundary	licensed_plurality
OBSTRUCT	liability_attribution	licensed_plurality
OBSTRUCT	licensing_statute_mandate	licensed_plurality
OBSTRUCT	literacy_acquisition_kernel	real_closure
OBSTRUCT	living_language_status	real_closure
OBSTRUCT	lycurgan_laws	real_closure
OBSTRUCT	maat_order_principle	real_closure
OBSTRUCT	magna_carta_1215	real_closure
OBSTRUCT	magna_carta_clause_39	real_closure
OBSTRUCT	magna_carta_constraint_authority	real_closure
OBSTRUCT	mandate_legitimacy_scope	real_closure
OBSTRUCT	manifesto_revolutionary_method	real_closure
OBSTRUCT	market_as_natural_default	licensed_plurality
OBSTRUCT	market_naturalization	real_closure
OBSTRUCT	marriage_authority	real_closure
OBSTRUCT	marriage_authority_kernel	licensed_plurality
OBSTRUCT	marriage_commitment_legitimacy	real_closure
OBSTRUCT	marriage_commitment_reversal	real_closure
OBSTRUCT	marriage_sacrament	licensed_plurality
OBSTRUCT	monetary_anchor_principle	real_closure
OBSTRUCT	monopoly_rulebook	real_closure
OBSTRUCT	montevideo_statehood_criteria	real_closure
OBSTRUCT	nafta_jurisdictional_boundary	real_closure
OBSTRUCT	naskh_principle	real_closure
OBSTRUCT	nicene_christological_kernel	real_closure
OBSTRUCT	nicene_creed_authority	real_closure
OBSTRUCT	notability_guidelines	licensed_plurality
